Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
GT Grande,"3 Star Hotels with Banquets, Small Function / Party Halls",Chennai ,,,₹450per plate,100-125,28,+3 more
Vrundavan Palace,"Banquet Halls, Convention / Function Halls",Pune ,5.0,1 review,Price on Request,700-2000,,+2 more
The Casanova Lounge,Small Function / Party Halls,"Bavdhan, Pune ",,,₹600per plate,100-150,,+2 more
VVED Restaurant & Banquet,Banquet Halls,Pune ,,,Price on Request,250-300,,+2 more
Hotel Manik Moti,"Banquet Halls, 3 Star Hotels with Banquets",Pune ,,,Price on Request,40-50,17,+3 more
Anand Lawns,Marriage Garden / Lawns,Pune ,,,₹699per plate,220-2500,6,+3 more
Wagheshwar Palace,"Banquet Halls, Marriage Garden / Lawns","Wagholi, Pune ",,,₹850per plate,1000-3000,,+2 more
Yashoda Garden,"Banquet Halls, Marriage Garden / Lawns","Wakad, Pune ",4.5,1 review,₹500per plate,350-1200,,+2 more
Zambre Palace,"Banquet Halls, Convention / Function Halls",Pune ,4.7,7 reviews,₹350per plate,350-450,,+2 more
Vishnu Prasad Sabhagruha,Banquet Halls,"Sadashiv Peth, Pune ",,,Price on Request,100-150,,+2 more
Brahman Mangal Karyalay,"Banquet Halls, Small Function / Party Halls",Pune ,5.0,2 reviews,₹200per plate,100-150,,+2 more
Anand Lawns,Marriage Garden / Lawns,"Bavdhan, Pune ",,,₹200per plate,1000-1500,,+2 more
Shashvat Mini Banquet Hall,Banquet Halls,Pune ,,,"₹50,000per function",90-150,2,+4 more
"Sameer Lawns, Ravet","Marriage Garden / Lawns, Wedding Farmhouses","Ravet, Pune ",5.0,1 review,₹500per plate,1500-5000,9,+3 more
Soyrik Garden,"Banquet Halls, Marriage Garden / Lawns","Wagholi, Pune ",5.0,1 review,"₹60,000per function",120-800,,+3 more
Hotel Aundh Retreat,"3 Star Hotels with Banquets, Party Restaurants / Lounge Bars","Aundh, Pune ",,,₹180per plate,50-100,24,+3 more
Mira Mangal Karyalaya,Banquet Halls,"Pimpri Chinchwad, Pune ",,,Price on Request,200-300,,+2 more
"The Lagoona Resort, Lonavala","Banquet Halls, Wedding Resorts",Pune ,5.0,3 reviews,"₹1,500per plate",50-1500,68,+3 more
Chhavani Heritage,"Banquet Halls, Venues With Rooms",Pune ,,,₹300per plate,150-300,17,+4 more
Eva's Party Hall,Banquet Halls,"Nigdi, Pune ",,,₹350per plate,200-300,,+2 more
Bhondve Lawns,Marriage Garden / Lawns,"Ravet, Pune ",,,"₹1,00,000per function",400-500,,+3 more
Royal Cafe,"Banquet Halls, Small Function / Party Halls","Hazratganj, Lucknow ",,3 reviews,"₹1,600per plate",50-70,,+2 more
Sangeet Lawn and Banquets,"Banquet Halls, Marriage Garden / Lawns","Jankipuram, Lucknow ",,,₹900per plate,650-800,11,+3 more
Blue Sky Lawn,Marriage Garden / Lawns,"Rajajipuram, Lucknow ",,,₹600per plate,400-600,,+2 more
RR Lawn Phase 2,Marriage Garden / Lawns,Lucknow ,,,₹700per plate,900-1200,,+2 more
Hotel Vishwanath,"Banquet Halls, 3 Star Hotels with Banquets","Charbagh, Lucknow ",,,₹500per plate,70-150,50,+3 more
Hotel G3,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,₹500per plate,100-150,32,+3 more
Shalimar Palace,"Banquet Halls, Small Function / Party Halls","SGPGI Rae Bareilly Road, Lucknow ",,,₹350per plate,80-130,,+2 more
Clay Oven Banquet Hall,Banquet Halls,"Charbagh, Lucknow ",,,"₹40,000per function",150-180,,+3 more
Grand Orient Banquet Hall,"Banquet Halls, Venues With Rooms",Lucknow ,,,Price on Request,400-600,4,+3 more
Yashmay Villa Club Resort & Spa,"Banquet Halls, Marriage Garden / Lawns","Lalbagh, Lucknow ",5.0,1 review,"₹1,500per plate",100-300,19,+3 more
Reganta Central Lucknow,"4 Star & Above Wedding Hotels, Banquet Halls",Lucknow ,5.0,1 review,"₹1,500per plate",150-200,67,+4 more
Sampati Lawn,Marriage Garden / Lawns,"Barel, Lucknow ",,,₹600per plate,700-1100,,+2 more
Z Resort,Marriage Garden / Lawns,Lucknow ,,,₹500per plate,400-600,,+2 more
Banana County,"Marriage Garden / Lawns, Wedding Farmhouses",Lucknow ,,2 reviews,"₹1,000per plate",800-2000,9,+3 more
Chaudhary Lawn,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,Price on Request,360-1500,,+2 more
Vasant Vihar Lawn,"Banquet Halls, Marriage Garden / Lawns","Indira Nagar, Lucknow ",,,₹350per plate,90-150,,+2 more
Hotel Krishna Palace,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,5.0,2 reviews,₹600per plate,300-1500,24,+3 more
Hotel Bandhan,Banquet Halls,"Indira Nagar, Lucknow ",,,"₹2,50,000per function",250-350,,+3 more
Gabbar's Banquets Rooms Restro,"Banquet Halls, 3 Star Hotels with Banquets","Fazullaganj, Lucknow ",,,₹650per plate,250-300,25,+4 more
Swagatam Lawn & Banquet,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,Price on Request,200-900,,+2 more
Mannat Resort,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,5.0,2 reviews,"₹1,600per plate",650-1000,22,+3 more
Shree Govindam Garden,Marriage Garden / Lawns,Jaipur ,,,Price on Request,700-800,,+2 more
Idiot Box,Small Function / Party Halls,"Gandhi Path, Jaipur ",,,₹350per plate,60-100,,+2 more
Hotel Royal View,"Banquet Halls, 3 Star Hotels with Banquets","Amer, Jaipur ",,,₹250per plate,60-100,32,+3 more
Park Inn Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls","Bani Park, Jaipur ",4.5,1 review,₹650per plate,,,+2 more
Hotel Aam Bagh & Jain Shikanji,"Banquet Halls, 3 Star Hotels with Banquets",Jaipur ,,1 review,₹300per plate,150-200,20,+3 more
Green Heavens Garden,Marriage Garden / Lawns,"Sanganer, Jaipur ",,,₹699per plate,300-450,,+2 more
LALBAGH,Marriage Garden / Lawns,Jaipur ,,,"₹1,000per plate",250-600,,+2 more
Bandhan Marriage Garden,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,"₹1,200per plate",600-1000,2,+4 more
Hotel Apple 9,"3 Star Hotels with Banquets, Small Function / Party Halls","Malviya Nagar, Jaipur ",,,₹300per plate,100-200,28,+3 more
VEDA,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,Price on Request,1000-2000,,+2 more
The Theme,"Banquet Halls, Marriage Garden / Lawns","Sanganer, Jaipur ",,7 reviews,₹500per plate,,,+2 more
"Holiday Inn Express & Suites Jaipur Gopalpura, an IHG Hotel","Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,Price on Request,150-200,139,+3 more
Hotel Shalimar,"Banquet Halls, 3 Star Hotels with Banquets","Sindhi Camp, Jaipur ",,,₹350per plate,180-250,21,+3 more
Mansa Hotel And Banquet,Banquet Halls,"Niwaru Road, Jaipur ",,,Rental Only,100-200,,+2 more
Cygnett Lite Grand Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls","Bani Park, Jaipur ",,,₹650per plate,50-180,33,+3 more
Ashu Hotel,"Banquet Halls, 3 Star Hotels with Banquets","Durgapura, Jaipur ",,,₹400per plate,100-150,18,+3 more
Shiv Niwas,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Jaipur ,,,Price on Request,100-120,10,+3 more
Saba Haveli,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Jaipur ,,,"₹1,200per plate",50-650,10,+3 more
Jai Jagdish Marriage Garden,Marriage Garden / Lawns,"Sitapura, Jaipur ",,,₹400per plate,2000-3000,,+2 more
The BMK,"3 Star Hotels with Banquets, Destination Wedding Venues","Greater Kailash, Delhi NCR ",4.5,4 reviews,₹850per plate,850-950,50,+3 more
Govindam Banquets Dwarka,Banquet Halls,"Palam, Delhi NCR ",,3 reviews,₹815per plate,815-815,,+2 more
"Clay Inn Hotel, Gurugram","Banquet Halls, 3 Star Hotels with Banquets","Sohna Road, Delhi NCR ",4.6,12 reviews,"₹1,500per plate",80-500,54,+3 more
Sky Rich International,"Banquet Halls, 3 Star Hotels with Banquets","Karol Bagh, Delhi NCR ",,,₹500per plate,180-300,24,+3 more
"Taj Mahal, New Delhi",Banquet Halls,"New Delhi, Delhi NCR ",,11 reviews,"₹5,500per plate",40-600,212,+2 more
Four Seasons Banquet - By TPM,"Banquet Halls, Convention / Function Halls",Delhi NCR ,5.0,1 review,"₹1,200per plate",400-900,,+2 more
Rosellia Banquets & Suites,"Banquet Halls, Small Function / Party Halls","Vasundhara, Delhi NCR ",,,"₹1,100per plate",75-350,9,+3 more
Sea Shell Banquet,Banquet Halls,"Kirti Nagar, Delhi NCR ",,2 reviews,₹850per plate,1000-1100,,+2 more
Golden Huts,"Wedding Resorts, Destination Wedding Venues",Delhi NCR ,,1 review,"₹1,400per plate",1400-1600,90,+2 more
jüSTa Residences-AIPL Joy Street Gurgaon,"4 Star & Above Wedding Hotels, Banquet Halls",Delhi NCR ,,,"₹1,299per plate",80-150,50,+4 more
Metro Grill Banquet,Small Function / Party Halls,"Rohini, Delhi NCR ",,6 reviews,₹650per plate,650-750,,+2 more
8 Mandi Hills Boutique Farmstay,"Marriage Garden / Lawns, Wedding Farmhouses",Delhi NCR ,5.0,2 reviews,"₹1,000per plate",250-300,4,+4 more
Hotel SPB 87,Banquet Halls,"Karol Bagh, Delhi NCR ",,6 reviews,₹650per plate,650-650,,+2 more
"Morpho Sukh Vasa Gurugram, India","Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,,,"₹1,400per plate",100-250,46,+3 more
Mahalaxmi Palace,"Banquet Halls, 3 Star Hotels with Banquets","New Industrial Town, Delhi NCR ",5.0,4 reviews,₹700per plate,700-900,35,+3 more
SK Wedding Bells,"Banquet Halls, 4 Star & Above Wedding Hotels","Shahdara, Delhi NCR ",4.7,3 reviews,"₹1,800per plate",150-800,28,+3 more
Dream Bells Banquet,"Banquet Halls, Convention / Function Halls","Wazirpur, Delhi NCR ",5.0,1 review,"₹1,250per plate",400-600,,+2 more
Ideal Palace,"Banquet Halls, Convention / Function Halls","Karkardooma, Delhi NCR ",4.5,4 reviews,₹800per plate,800-1000,,+2 more
Zaara Banquets,"Banquet Halls, Marriage Garden / Lawns","Kalkaji, Delhi NCR ",,2 reviews,"₹1,300per plate",75-160,,+2 more
Vedanta Farms,"Banquet Halls, Marriage Garden / Lawns","Ghaziabad, Delhi NCR ",4.8,12 reviews,"₹3,000per plate",100-3000,20,+3 more
GT Grande,"3 Star Hotels with Banquets, Small Function / Party Halls",Chennai ,,,₹450per plate,100-125,28,+3 more
Ansari Mahal,"Banquet Halls, Small Function / Party Halls","Pammal, Chennai ",,,₹250per plate,100-200,,+2 more
RR Grand Function Hall,"Banquet Halls, Convention / Function Halls",Chennai ,,,₹600per plate,150-200,,+3 more
Elite7 Resorts,"Marriage Garden / Lawns, Wedding Farmhouses",Chennai ,,,"₹1,000per plate",750-1000,9,+4 more
Marhaba Mini Function Hall,"Banquet Halls, Convention / Function Halls","Kodambakkam, Chennai ",,,₹350per plate,150-250,,+2 more
Srimathi Narayani Ammal Kalyana Mandapam,"Banquet Halls, Kalyana Mandapams",Chennai ,5.0,1 review,₹350per plate,400-600,,+2 more
Parvathi Mahal,Banquet Halls,"Ambattur, Chennai ",,,Price on Request,200-300,,+2 more
Valli Thirumanana Mandapam,Banquet Halls,"Vadapalani, Chennai ",,,₹350per plate,350-550,,+2 more
YWCA International Guest House,"Banquet Halls, 3 Star Hotels with Banquets","Egmore, Chennai ",,,Price on Request,100-150,63,+3 more
Sri Ammai Appar Banquet Hall,"Banquet Halls, Venues With Rooms",Chennai ,,,Price on Request,300-400,2,+4 more
Sri Varu Parthasarathi Palace,Banquet Halls,"Ambattur, Chennai ",,1 review,₹700per plate,250-400,,+2 more
Anand Chandrasekhar Mini Hall,Banquet Halls,"West Mambalam, Chennai ",,1 review,₹400per plate,200-250,,+2 more
Sri Natarajaa Thirumana Mandapam,"Banquet Halls, Kalyana Mandapams","Kovalam, Chennai ",,1 review,₹400per plate,1200-1600,,+2 more
Kalyani Srinivasa Padmavathi Mahal,Banquet Halls,"Poonamallee, Chennai ",,,Price on Request,600-900,,+2 more
Ranga Thirumana Mahal,"Banquet Halls, Kalyana Mandapams",Chennai ,,,₹300per plate,350-550,,+2 more
Sri GopiKrishna Kalyana Mandapam,"Banquet Halls, Marriage Garden / Lawns",Chennai ,,,₹550per plate,200-500,,+3 more
The RoyalChitran,"Party Restaurants / Lounge Bars, Marriage Garden / Lawns",Chennai ,,,₹650per plate,200-250,,+3 more
The Metroplace Hotels,"Banquet Halls, Small Function / Party Halls",Chennai ,,,₹500per plate,60-100,54,+3 more
Hotel Mars,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,,,₹500per plate,500-750,11,+3 more
Novotel Chennai Sipcot,"4 Star & Above Wedding Hotels, Banquet Halls",Chennai ,5.0,2 reviews,₹900per plate,250-500,180,+2 more
Eva's Party Hall,Banquet Halls,"Nigdi, Pune ",,,₹350per plate,200-300,,+2 more
Vatsalya Lawns,Marriage Garden / Lawns,Pune ,,,₹700per plate,400-700,,+2 more
Hotel Bhola,Small Function / Party Halls,"Pimpri, Pune ",,,Price on Request,80-120,,+2 more
Surabhi Hotel,"Party Restaurants / Lounge Bars, Marriage Garden / Lawns",Pune ,,,₹600per plate,100-150,,+2 more
Mayurangan Resort,"Banquet Halls, Venues With Rooms",Pune ,,,₹650per plate,1500-2000,7,+3 more
The Orange Mint,Banquet Halls,Pune ,,,₹500per plate,110-170,,+2 more
Crystal Deck,Banquet Halls,"Pimpri, Pune ",5.0,1 review,Price on Request,250-300,,+2 more
Soyrik Garden,"Banquet Halls, Marriage Garden / Lawns","Wagholi, Pune ",5.0,1 review,"₹60,000per function",120-800,,+3 more
Sinhagad Farms,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Pune ,,,Price on Request,300-500,20,+3 more
Pooja Garden Mangal Karyalaya,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,₹400per plate,200-800,,+2 more
Silver Petals,"Banquet Halls, Convention / Function Halls","Dhayari, Pune ",,1 review,Price on Request,300-500,,+2 more
Ajinkya Lake Resort,"Wedding Resorts, Venues With Rooms",Pune ,5.0,1 review,₹400per plate,500-700,16,+3 more
Rajwansh - Ranch and Banquets,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,"₹1,000per plate",80-500,3,+3 more
Buninda Holiday Resort,"Marriage Garden / Lawns, Wedding Farmhouses","Bavdhan, Pune ",,,Price on Request,120-200,8,+3 more
Apurvai Hall,Banquet Halls,"Sadashiv Peth, Pune ",,,"₹35,000per function",80-100,,+3 more
Mount Resorts and Villas,Marriage Garden / Lawns,Pune ,,,Price on Request,70-100,6,+4 more
Gurukrupa Mangal Karyalaya,Banquet Halls,"Pimpri Chinchwad, Pune ",,,₹350per plate,180-300,,+2 more
Girivihar Holiday Club,"Banquet Halls, Venues With Rooms",Pune ,,,₹650per plate,25-150,10,+3 more
Lakewoods Retreat,"Banquet Halls, Marriage Garden / Lawns","Sinhagad Road, Pune ",,,₹200per plate,50-300,,+2 more
Oxford Golf Resort,"4 Star & Above Wedding Hotels, Banquet Halls",Pune ,4.7,23 reviews,"₹1,800per plate",,,+2 more
Shahi Guest House,Banquet Halls,"Fazullaganj, Lucknow ",,,₹500per plate,150-250,,+2 more
Function Inn Hotel,"Banquet Halls, 3 Star Hotels with Banquets","LDA Colony, Lucknow ",,,₹500per plate,250-270,21,+4 more
The Mahanagar Lawns,"Banquet Halls, Marriage Garden / Lawns","Aliganj, Lucknow ",5.0,1 review,"₹1,80,000per function",80-400,3,+4 more
Dream World Resort,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,2 reviews,Price on Request,1000-3000,45,+3 more
Dreamy Delicacies,"Banquet Halls, Small Function / Party Halls","Vikas Nagar, Lucknow ",5.0,1 review,₹650per plate,50-120,,+2 more
Capital Utsav Lawn,Marriage Garden / Lawns,Lucknow ,,,₹600per plate,400-600,,+3 more
Food Cottage Banquet,Banquet Halls,Lucknow ,,,₹550per plate,120-300,,+2 more
Mannat Lawn,Marriage Garden / Lawns,"Jankipuram Extension, Lucknow ",,,₹700per plate,600-900,,+2 more
Hotel Solitaire,"Banquet Halls, 3 Star Hotels with Banquets","Gomti Nagar, Lucknow ",,1 review,"₹1,250per plate",600-1000,42,+3 more
RnB Select Walk Inn,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,"₹1,200per plate",45-50,24,+3 more
M. A. Palace,Banquet Halls,Lucknow ,,,₹450per plate,150-250,,+2 more
The Oasis,"4 Star & Above Wedding Hotels, Banquet Halls",Lucknow ,,17 reviews,"₹2,050per plate",250-1000,68,+4 more
Metropolitan Club,"Banquet Halls, Party Restaurants / Lounge Bars","Gomti Nagar, Lucknow ",,,"₹1,250per plate",35-50,,+2 more
Celebrations Room Banquets,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,₹900per plate,350-500,15,+4 more
Veg Stew Restaurant,"Banquet Halls, Small Function / Party Halls","Mahanagar, Lucknow ",,,₹600per plate,100-150,,+2 more
S.A.Ghazi Marriage Hall,Banquet Halls,"Rajajipuram, Lucknow ",,,₹400per plate,120-300,,+2 more
Jashn by Zaayka,"Banquet Halls, Venues With Rooms",Lucknow ,4.9,5 reviews,₹750per plate,200-500,8,+3 more
Al-Kabeer Marriage Lawn,Marriage Garden / Lawns,Lucknow ,,,₹800per plate,800-1200,,+2 more
Hotel Casa Aishbagh,"Banquet Halls, Marriage Garden / Lawns","Charbagh, Lucknow ",5.0,4 reviews,"₹1,650per plate",45-500,18,+3 more
Taj Marriage Hall,Banquet Halls,Lucknow ,,,"₹40,000per function",120-150,,+3 more
Hotel Shalimar,"Banquet Halls, 3 Star Hotels with Banquets","Sindhi Camp, Jaipur ",,,₹350per plate,180-250,21,+3 more
Satyam Resort,"Banquet Halls, Marriage Garden / Lawns","Ajmer Road, Jaipur ",,,₹500per plate,,,+2 more
Sundar Lawn,Marriage Garden / Lawns,Jaipur ,,,Price on Request,800-1000,,+2 more
Hotel Blooms and Resorts,"Banquet Halls, Marriage Garden / Lawns","Bani Park, Jaipur ",,,₹500per plate,70-200,22,+3 more
Golden Venue Marraige Garden,"Banquet Halls, Marriage Garden / Lawns","Mansarovar, Jaipur ",,1 review,₹500per plate,250-800,,+3 more
Suryavanshi Marriage Garden,"Banquet Halls, Marriage Garden / Lawns","Khatipura, Jaipur ",,,₹600per plate,700-1000,,+2 more
Komal Guest House And Banquet,"Banquet Halls, 3 Star Hotels with Banquets","Mansarovar, Jaipur ",,,₹400per plate,100-150,13,+3 more
Desert Inn,"Banquet Halls, Marriage Garden / Lawns","Kalwar Road, Jaipur ",,,₹400per plate,200-700,,+2 more
5 by Oyo Metropolitan,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,"₹2,000per plate",150-200,90,+3 more
Hotel Annex Inn,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,Price on Request,140-2000,18,+3 more
Flute Boutique Hotel,"Banquet Halls, 3 Star Hotels with Banquets",Jaipur ,,,₹650per plate,60-100,28,+3 more
R K Lawn,Marriage Garden / Lawns,"Mansarovar, Jaipur ",5.0,1 review,Price on Request,1200-2000,,+2 more
H Town Restro & Lounge,Small Function / Party Halls,"Gandhi Path, Jaipur ",,,₹350per plate,70-100,,+2 more
Khandela Haveli,"Banquet Halls, Marriage Garden / Lawns","Bani Park, Jaipur ",,,₹800per plate,50-150,25,+3 more
Sanwaliya Garden,Marriage Garden / Lawns,"Kanakpura, Jaipur ",,,₹300per plate,900-1500,,+2 more
Black Bear Farm House,Marriage Garden / Lawns,"Hasanpura, Jaipur ",5.0,1 review,Price on Request,100-150,,+2 more
Rambagh Palace - Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls","Lal Kothi, Jaipur ",5.0,11 reviews,Price on Request,,,+2 more
"The Orion, Jaipur","Banquet Halls, 3 Star Hotels with Banquets","Bani Park, Jaipur ",,,₹500per plate,,,+2 more
Shyam Paradise Marriage Garden,"Banquet Halls, Marriage Garden / Lawns","Gandhi Path, Jaipur ",,,₹400per plate,120-2000,,+2 more
Madan Vilas,"Banquet Halls, Marriage Garden / Lawns","Mansarovar, Jaipur ",5.0,2 reviews,"₹1,200per plate",180-500,,+2 more
Golden Galaxy Hotel & Resorts,"4 Star & Above Wedding Hotels, Banquet Halls","Faridabad, Delhi NCR ",,12 reviews,"₹1,800per plate",25-350,27,+4 more
Ambria Pushpanjali by GYV,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,,41 reviews,"₹2,500per plate",300-1500,,+3 more
Aravali Nature Valley Resort,"Marriage Garden / Lawns, Small Function / Party Halls",Delhi NCR ,5.0,1 review,₹700per plate,60-100,,+2 more
Shri Kanhaiyalal Farm,Marriage Garden / Lawns,Delhi NCR ,,,"₹15,000per function",70-100,,+2 more
JMD Garden,Marriage Garden / Lawns,"Aya Nagar, Delhi NCR ",4.5,1 review,₹950per plate,400-800,,+2 more
Le Amber,"Banquet Halls, Convention / Function Halls",Delhi NCR ,5.0,1 review,"₹2,300per plate",800-1000,4,+3 more
Lotus Farms,Marriage Garden / Lawns,"Chattarpur, Delhi NCR ",,4 reviews,"₹1,000per plate",1000-1200,,+2 more
Westin Sohna Resort & Spa,"4 Star & Above Wedding Hotels, Banquet Halls",Delhi NCR ,4.6,12 reviews,"₹4,500per plate",150-350,97,+4 more
Maple Garden,"Banquet Halls, Marriage Garden / Lawns","Gt Karnal Road, Delhi NCR ",,3 reviews,"₹2,000per plate",200-2000,,+1 more
Shaukeen Vatika,Marriage Garden / Lawns,"Uttam Nagar, Delhi NCR ",,1 review,Price on Request,480-800,,+2 more
Taj Farm & Resort,Marriage Garden / Lawns,Delhi NCR ,,2 reviews,"₹70,000per function",300-500,8,+4 more
Sara Moments,"Banquet Halls, Convention / Function Halls","Civil Lines, Delhi NCR ",5.0,1 review,₹700per plate,400-600,,+2 more
Ahuja Residency Mayfield Garden,"Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,,,"₹1,250per plate",65-100,32,+3 more
Bikanervala,"Banquet Halls, Small Function / Party Halls","Leisure Valley Sector 29, Delhi NCR ",5.0,3 reviews,"₹1,050per plate",100-250,1,+3 more
The Suryaa,"4 Star & Above Wedding Hotels, Banquet Halls","New Friends Colony, Delhi NCR ",4.8,9 reviews,Price on Request,20-700,244,+3 more
Shivay The Banquet,Banquet Halls,"Jhilmil Industrial Area, Delhi NCR ",4.7,3 reviews,Price on Request,200-300,,+2 more
Rudrakshaa Banquet,"Banquet Halls, Convention / Function Halls","Vasundhara, Delhi NCR ",,8 reviews,"₹2,500per plate",850-1500,,+2 more
Unitech Club Patio,"Banquet Halls, Marriage Garden / Lawns","Gurgaon, Delhi NCR ",,7 reviews,"₹1,700per plate",50-500,12,+3 more
The Blue Lotus Delhi,"Marriage Garden / Lawns, Wedding Farmhouses","Chattarpur, Delhi NCR ",5.0,23 reviews,"₹2,500per plate",100-550,3,+6 more
Pink Guava Hotels,3 Star Hotels with Banquets,"Gurgaon, Delhi NCR ",,,"₹1,000per plate",50-150,70,+3 more
Marhaba Mini Function Hall,"Banquet Halls, Convention / Function Halls","Kodambakkam, Chennai ",,,₹350per plate,150-250,,+2 more
CNC Mahal,Banquet Halls,Chennai ,,,"₹80,000per function",200-300,2,+4 more
ITC Grand Chola Hotel,Banquet Halls,"Guindy, Chennai ",,14 reviews,"₹2,000per plate",1440-2400,,+2 more
Saidai Chandru Mini Hall A/C,"Banquet Halls, Small Function / Party Halls","Mambalam, Chennai ",,,₹650per plate,100-150,,+2 more
Madras House,"Banquet Halls, Marriage Garden / Lawns","Anna Nagar, Chennai ",5.0,1 review,"₹1,350per plate",90-800,8,+3 more
LakeView Party Hall & Open Air Theater,"Banquet Halls, Marriage Garden / Lawns",Chennai ,5.0,1 review,Price on Request,50-200,1,+3 more
Shanthi Shesha Mahal,"Banquet Halls, Kalyana Mandapams",Chennai ,,1 review,₹500per plate,1000-1500,20,+3 more
JS Mini Hall,Banquet Halls,Chennai ,,,Price on Request,100-150,,+2 more
BKR Grand Hotel,"Banquet Halls, 3 Star Hotels with Banquets","Parthasarathi, Chennai ",5.0,1 review,₹500per plate,80-150,124,+3 more
Vijaya Mahal,"Banquet Halls, Venues With Rooms","Parthasarathi, Chennai ",,2 reviews,₹350per plate,1000-1500,2,+3 more
Devamirthas Banquet Hall,Banquet Halls,"Sholinganallur, Chennai ",,,₹250per plate,350-500,,+2 more
VKC Mahal,Banquet Halls,Chennai ,5.0,1 review,₹500per plate,150-200,,+3 more
Suganya Thirumana Mandapam,Banquet Halls,Chennai ,,,₹400per plate,800-1200,,+2 more
Badri Party Hall,Banquet Halls,"Poonamallee, Chennai ",,,₹300per plate,250-400,,+2 more
Srimathi Narayani Ammal Kalyana Mandapam,"Banquet Halls, Kalyana Mandapams",Chennai ,5.0,1 review,₹350per plate,400-600,,+2 more
Aarna Mahal,Banquet Halls,"Pallikaranai, Chennai ",5.0,2 reviews,₹400per plate,210-700,,+3 more
Nathella Sulochanamma Kalyaana Mandapam,"Banquet Halls, Kalyana Mandapams","Koyambedu, Chennai ",5.0,1 review,₹350per plate,1000-1500,,+2 more
24 Convention Mini Hall,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,,,₹300per plate,200-300,12,+3 more
Hotel Anushka,"Banquet Halls, 3 Star Hotels with Banquets","Arumbakkam, Chennai ",,,₹350per plate,250-400,12,+3 more
K.P. Palace Garden,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,4.5,1 review,₹400per plate,1000-2200,15,+3 more
Two Birds Nest,Wedding Farmhouses,Pune ,,,Price on Request,100-150,4,+3 more
Jakson Inns,"Banquet Halls, Marriage Garden / Lawns","Kasba Peth, Pune ",,,Price on Request,90-2000,74,+3 more
Saraswati Mangal Karyalay,"Banquet Halls, Marriage Garden / Lawns","Satara Road, Pune ",5.0,1 review,₹180per plate,1000-3000,,+2 more
The Punjabi Cultural Association,Banquet Halls,Pune ,,,Price on Request,150-200,,+2 more
Mogra Restaurant & Banquet,Banquet Halls,"Bibwewadi, Pune ",,,"₹1,150per plate",100-150,1,+4 more
Bhegde Lawns,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,₹400per plate,250-800,,+2 more
Lonkar Lawns,Marriage Garden / Lawns,"Kondhwa, Pune ",5.0,1 review,Price on Request,800-1000,,+2 more
Tip-C Resto Lounge,Small Function / Party Halls,"Yerawada, Pune ",,,₹500per plate,80-150,,+2 more
Trisha Party Hall,Banquet Halls,Pune ,,,"₹60,000per function",120-150,,+3 more
Mauli Mangal Karyalay,Banquet Halls,Pune ,,,₹400per plate,150-200,,+3 more
Shivprasad Banquet Hall,Banquet Halls,Pune ,,,Price on Request,150-250,,+2 more
 Hotel Utsav,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,₹550per plate,550-550,24,+3 more
Lekha Farm,"Marriage Garden / Lawns, Venues With Rooms","Pimpri Chinchwad, Pune ",,,₹550per plate,800-1200,10,+3 more
Hotel Centro,"3 Star Hotels with Banquets, Small Function / Party Halls","Shivajinagar, Pune ",,,₹800per plate,80-120,62,+2 more
Shivratna Lawns,Marriage Garden / Lawns,"Undri, Pune ",,,₹500per plate,1000-1500,,+2 more
Indradhanush Resort,"Marriage Garden / Lawns, Venues With Rooms",Pune ,,,₹800per plate,75-100,10,+3 more
Shiv Parvati Lawns,Marriage Garden / Lawns,"Chinchwad, Pune ",,,₹300per plate,420-700,,+2 more
Annancha Wada,Marriage Garden / Lawns,Pune ,,,"₹48,000per function",500-700,8,+4 more
