Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
"Taj Devi Ratn Resort & Spa, Jaipur","4 Star & Above Wedding Hotels, Banquet Halls",Jaipur ,5.0,5 reviews,"₹4,500per plate",50-800,145,+4 more
Jaibagh Palace,"4 Star & Above Wedding Hotels, Banquet Halls","Kukas, Jaipur ",4.8,12 reviews,"₹30,00,000per function",150-1500,143,+5 more
KK Royal Hotel & Convention Centre,"4 Star & Above Wedding Hotels, Banquet Halls","Amer Road, Jaipur ",,7 reviews,"₹2,500per plate",150-1000,111,+5 more
Ramada by Wyndham Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls",Jaipur ,4.8,6 reviews,"₹1,700per plate",400-600,160,+4 more
"Rajasthali Resort and Spa, Jaipur","4 Star & Above Wedding Hotels, Banquet Halls","Kukas, Jaipur ",,16 reviews,"₹3,500per plate",250-1400,110,+4 more
Pride Amber Vilas Resort & Convention Centre,"4 Star & Above Wedding Hotels, Banquet Halls","Sitapura, Jaipur ",4.9,13 reviews,"₹1,900per plate",25-1100,95,+5 more
"Taj Amer, Jaipur","4 Star & Above Wedding Hotels, Banquet Halls","Kukas, Jaipur ",5.0,2 reviews,"₹5,000per plate",400-1000,245,+3 more
The Vijayran Palace by Royal Quest Resorts,"4 Star & Above Wedding Hotels, Banquet Halls","Kukas, Jaipur ",5.0,17 reviews,"₹2,400per plate",100-1500,52,+4 more
Club Mahindra Resort - Jaipur - Rajasthan,"4 Star & Above Wedding Hotels, Banquet Halls",Jaipur ,5.0,1 review,"₹1,300per plate",50-200,72,+4 more
Chomu Palace Hotel,"4 Star & Above Wedding Hotels, Banquet Halls","Chomu, Jaipur ",4.7,8 reviews,"₹3,500per plate",50-1000,100,+4 more
The Kurki Heritage by Elite,"Banquet Halls, Marriage Garden / Lawns","Nirman Nagar, Jaipur ",4.7,14 reviews,"₹1,400per plate",50-650,34,+4 more
The Leela Palace Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls","Kukas, Jaipur ",4.7,12 reviews,"₹7,000per plate",40-1500,200,+3 more
The Raj Palace by Small Luxury Hotels of The World,"4 Star & Above Wedding Hotels, Banquet Halls","Amer Road, Jaipur ",5.0,15 reviews,"₹3,800per plate",80-1200,60,+3 more
Grassfield Valley Resort,"4 Star & Above Wedding Hotels, Banquet Halls",Jaipur ,4.8,6 reviews,"₹1,800per plate",80-1800,150,+4 more
Samode Palace,"4 Star & Above Wedding Hotels, Banquet Halls","Chomu, Jaipur ",4.6,14 reviews,"₹4,500per plate",48-700,43,+3 more
Hotel Clarks Amer,"4 Star & Above Wedding Hotels, Banquet Halls","Durgapura, Jaipur ",4.6,20 reviews,"₹2,100per plate",10-700,215,+4 more
Talaibagh Palace,"4 Star & Above Wedding Hotels, Banquet Halls","Amer, Jaipur ",5.0,1 review,"₹1,250per plate",60-1000,37,+5 more
