Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
hotel anju shree inn,"banquet halls, 3 star hotels with banquets",5.0,4,700.0,20,200,250,jaipur,3
the lalit jaipur,"4 star & above wedding hotels, banquet halls",4.8,12,2100.0,231,50,800,jaipur,3
rudra vilas,"banquet halls, marriage garden / lawns",4.8,2,1000.0,45,140,700,jaipur,4
castle kalwar,"banquet halls, marriage garden / lawns",4.7,3,1200.0,25,30,300,jaipur,4
indana palace,"4 star & above wedding hotels, banquet halls",4.9,8,2950.0,118,45,1000,jaipur,4
the sparkle farm house,"banquet halls, 3 star hotels with banquets",5.0,3,700.0,20,500,800,jaipur,4
madhuvan banquet & lawn raj nagar ghaziabad,"banquet halls, marriage garden / lawns",4.8,10,1000.0,3,150,250,ncr,4
lemon tree hotel sector 60,"4 star & above wedding hotels, banquet halls",5.0,13,1800.0,258,40,500,ncr,4
eternal oasis,"banquet halls, marriage garden / lawns",5.0,4,2300.0,30,50,500,ncr,3
royal imperio,"banquet halls, marriage garden / lawns",4.6,35,1800.0,31,40,500,ncr,6
botanix nature resort,"banquet halls, marriage garden / lawns",5.0,5,2700.0,40,600,1000,ncr,4
the roman palace banquet (veg only),"banquet halls, small function / party halls",5.0,4,1350.0,21,75,900,ncr,2
the bristol hotel,"4 star & above wedding hotels, banquet halls",5.0,29,2700.0,83,50,1200,ncr,4
ganeshwaram restaurant & banquet sec-104,"banquet halls, 3 star hotels with banquets",5.0,1,1100.0,21,90,150,ncr,2
devam green by primerose,"banquet halls, marriage garden / lawns",4.6,22,1650.0,2,600,1000,ncr,6
ganeshwaram restaurant and banquet,"banquet halls, 3 star hotels with banquets",5.0,1,1100.0,30,70,100,ncr,3
the grand opera banquet,"banquet halls, party restaurants / lounge bars",5.0,6,1800.0,1,200,250,ncr,3
root farms,"banquet halls, marriage garden / lawns",5.0,9,1500.0,12,100,2000,ncr,4
golden suites gurgaon | inde hotels & resorts,"banquet halls, marriage garden / lawns",5.0,23,2449.0,125,20,350,ncr,5
royal swan banquet,"banquet halls, marriage garden / lawns",5.0,24,1900.0,2,75,1000,ncr,6
